OBJECTID,Nousijamaa,Nimi,Lyhyt_tunn
1,56005,Helsingin rautatieasema, 
2,32304,Pasilan asema, 
3,2165,Ilmalan asema, 
4,9477,Huopalahden asema, 
5,2133,Valimon asema, 
6,1905,Pitäjänmäen asema, 
7,3080,Pohjois-Haagan asema, 
8,4894,Kannelmäen asema, 
9,2596,Käpylän asema, 
10,5105,Oulunkylän asema, 
11,3908,Pukinmäen asema, 
12,11193,Malmin asema, 
13,2752,Tapanilan asema, 
14,5869,Puistolan asema, 
15,3915,Malminkartanon asema, 
16,547,Mäkkylän asema, 
17,13417,Leppävaaran asema, 
18,1472,Keran asema, 
19,1878,Kauniaisten asema, 
20,1144,Koivuhovin asema, 
21,1706,Tuomarilan asema, 
22,4913,Espoon asema, 
23,2198,Kauklahden asema, 
24,2172,Kilon asema, 
25,6642,Myyrmäen asema, 
26,1946,Louhelan asema, 
27,3520,Martinlaakson asema, 
28,1444,Vantaankosken asema, 
29,16127,Tikkurilan asema, 
30,3758,Hiekkaharjun asema, 
31,3570,Koivukylän asema, 
32,1304,Rekolan asema, 
33,4307,Korson asema, 
34,514,Vehkalan asema, 
35,2665,Kivistön asema, 
36,1719,Aviapoliksen asema, 
37,4071,Lentoaseman asema, 
38,1813,Leinelän asema, 
39,909,Masalan asema, 
40,151,Jorvaksen asema, 
41,247,Tolsan asema, 
42,1952,Kirkkonummen asema, 
43,146,Siuntion asema, 
44,1285,Savion asema, 
45,8122,Keravan asema, 
46,47,Katajanokka,H0097
47,1379,Kauppatori,H0099
48,1303,Suomenlinna,H0098
49,53,Suomenlinna,H0096
50,17381,Ruoholahden metroasema,RL
51,27917,Kampin metroasema,KP
52,27930,Rautatientorin metroasema,RT
53,9713,Helsingin yliopiston metroasema,KN
54,14074,Hakaniemen metroasema,HT
55,23531,Sörnäisten metroasema,SN
56,8350,Kalasataman metroasema,KA
57,3514,Kulosaaren metroasema,KS
58,18226,Herttoniemen metroasema,HN
59,4391,Siilitien metroasema,ST
60,22702,Itäkeskuksen metroasema,IK
61,7594,Myllypuron metroasema,MP
62,11589,Kontulan metroasema,KL
63,7262,Mellunmäen metroasema,MM
64,6285,Puotilan metroasema,PT
65,4197,Rastilan metroasema,RS
66,14623,Vuosaaren metroasema,VS
67,3,A. Petreliuksen katu,V6224
68,0,A. Petreliuksen katu,V6225
69,131,A.I. Virtasen aukio,H3597
70,287,A.I. Virtasen aukio,H3596
71,1,Aakenraitti,H4728
72,667,Aalto,E4038
73,251,Aalto,E4039
74,3,Aamuruskonkuja,Ki0726
75,46,Aamutie,E3228
76,76,Aamutie,E3229
77,2,Aarteenetsijäntie,H4892
78,3,Aarteenetsijäntie,H4473
79,39,Aarteenetsijäntie,H4472
80,27,Aavaranta,Ki1440
81,0,Aavaranta,Ki1446
82,3,Abraham Wetterin tie,H4167
83,66,Abraham Wetterin tie,H4168
84,0,Adolf Lindforsin tie,H1761
